episode_id,net_yaw_rad,net_turns,dropped
0,-2.15676,-0.34326,1
1,-2.15388,-0.34280,0
2,-2.03320,-0.32359,0
3,-2.19337,-0.34909,1
4,-2.16132,-0.34398,0
5,-2.13680,-0.34008,1
6,-2.05893,-0.32769,1
7,-1.73977,-0.27689,0
8,-1.71708,-0.27328,1
9,-3.83755,-0.61076,0
10,-3.14443,-0.50045,0
11,-2.98011,-0.47430,0
12,-2.98558,-0.47517,0
13,-3.89671,-0.62018,0
14,-3.30023,-0.52525,0
15,-2.89338,-0.46050,0
16,-2.15676,-0.34326,1
17,-2.15388,-0.34280,0
18,-2.03320,-0.32359,0
19,-2.19337,-0.34909,1
20,-2.16132,-0.34398,0
21,-2.13680,-0.34008,1
22,-2.05893,-0.32769,1
23,-1.73977,-0.27689,0
24,-1.71708,-0.27328,1
25,-2.15676,-0.34326,1
26,-3.83755,-0.61076,0
27,-3.14443,-0.50045,0
28,-2.98011,-0.47430,0
29,-2.98558,-0.47517,0
30,-2.15388,-0.34280,0
31,-3.89671,-0.62018,0
32,-3.30023,-0.52525,0
33,-2.89338,-0.46050,0
34,-2.03320,-0.32359,0
35,-2.19337,-0.34909,1
36,-2.16132,-0.34398,0
37,-2.13680,-0.34008,1
38,-2.09832,-0.33396,0
39,-2.07786,-0.33070,1
40,-2.15388,-0.34280,0
41,-1.73977,-0.27689,0
42,-2.03320,-0.32359,0
43,-2.19312,-0.34905,1
44,-2.16132,-0.34398,0
45,-2.13680,-0.34008,1
46,-1.71708,-0.27328,1
47,-2.09832,-0.33396,0
48,-3.83755,-0.61076,0
49,-3.14443,-0.50045,0
50,-2.98011,-0.47430,0
51,-2.98558,-0.47517,0
52,-3.89671,-0.62018,0
53,-3.30023,-0.52525,0
54,-2.89338,-0.46050,0
55,-2.07786,-0.33070,1
56,-2.15388,-0.34280,0
57,-2.03320,-0.32359,0
58,-2.19312,-0.34905,1
59,-2.16132,-0.34398,0
60,-2.13680,-0.34008,1
61,-1.73977,-0.27689,0
62,-2.09832,-0.33396,0
63,-1.71708,-0.27328,1
64,-2.07786,-0.33070,1
65,-3.83755,-0.61076,0
66,-3.14443,-0.50045,0
67,-2.98011,-0.47430,0
68,-2.98558,-0.47517,0
69,-2.15388,-0.34280,0
70,-3.89671,-0.62018,0
71,-3.30023,-0.52525,0
72,-2.89338,-0.46050,0
73,-2.03320,-0.32359,0
74,-2.19337,-0.34909,1
75,-2.16132,-0.34398,0
76,-2.13680,-0.34008,1
77,-2.05893,-0.32769,1
78,-1.73977,-0.27689,0
79,-2.07786,-0.33070,1
80,-2.15388,-0.34280,0
81,-2.03320,-0.32359,0
82,-1.71708,-0.27328,1
83,-2.19312,-0.34905,1
84,-3.83755,-0.61076,0
85,-3.14443,-0.50045,0
86,-2.98011,-0.47430,0
87,-2.98558,-0.47517,0
88,-3.89671,-0.62018,0
89,-3.30023,-0.52525,0
90,-2.89338,-0.46050,0
91,-2.16132,-0.34398,0
92,-2.13680,-0.34008,1
93,-2.05893,-0.32769,1
94,-2.15676,-0.34326,1
95,-2.15388,-0.34280,0
96,-1.73977,-0.27689,0
97,-2.03320,-0.32359,0
98,-2.19312,-0.34905,1
99,-2.16132,-0.34398,0
100,-2.13680,-0.34008,1
