episode_id,net_yaw_rad,net_turns,dropped
0,-4.05056,-0.64467,0
1,-4.41853,-0.70323,0
2,-4.40505,-0.70109,0
3,-4.77541,-0.76003,0
4,-4.25422,-0.67708,0
5,-3.83282,-0.61001,0
6,-4.23705,-0.67435,0
7,-4.05066,-0.64468,0
8,-3.66178,-0.58279,0
9,-3.52071,-0.56034,0
10,-4.41383,-0.70248,0
11,-3.92257,-0.62430,0
12,-4.64952,-0.73999,0
13,-4.28658,-0.68223,0
14,-3.70327,-0.58939,0
15,-4.13675,-0.65838,0
16,-3.98388,-0.63405,0
17,-4.19826,-0.66817,0
18,-4.03267,-0.64182,0
19,-3.50561,-0.55794,0
20,-3.81896,-0.60781,0
21,-4.79188,-0.76265,0
22,-3.81238,-0.60676,0
23,-4.08800,-0.65062,0
24,-4.14018,-0.65893,0
25,-3.69602,-0.58824,0
26,-3.55135,-0.56522,0
27,-3.57300,-0.56866,0
28,-3.47928,-0.55374,0
29,-4.77113,-0.75935,0
30,-3.77022,-0.60005,0
31,-4.17207,-0.66401,0
32,-4.06460,-0.64690,0
33,-4.10944,-0.65404,0
34,-4.13349,-0.65787,0
35,-4.40754,-0.70148,0
36,-4.38996,-0.69868,0
37,-4.73858,-0.75417,0
38,-3.46855,-0.55204,0
39,-4.15029,-0.66054,0
40,-3.84863,-0.61253,0
41,-3.57961,-0.56971,0
42,-3.53593,-0.56276,0
43,-4.40687,-0.70138,0
44,-3.37507,-0.53716,0
45,-4.76891,-0.75899,0
46,-3.76813,-0.59972,0
47,-4.11511,-0.65494,0
48,-4.06036,-0.64623,1
49,-4.31542,-0.68682,0
50,-4.04899,-0.64442,0
51,-4.44219,-0.70700,0
52,-3.60102,-0.57312,0
53,-4.75193,-0.75629,0
54,-3.74460,-0.59597,0
55,-4.10239,-0.65292,0
56,-3.89560,-0.62000,0
57,-3.64004,-0.57933,0
58,-3.50543,-0.55791,0
59,-4.41225,-0.70223,0
60,-3.90335,-0.62124,0
61,-4.78527,-0.76160,0
62,-3.73972,-0.59519,0
63,-4.12999,-0.65731,0
64,-4.29041,-0.68284,0
65,-4.05056,-0.64467,0
66,-4.02082,-0.63993,0
67,-4.17422,-0.66435,0
68,-3.77921,-0.60148,0
69,-4.77689,-0.76027,0
70,-3.85834,-0.61407,0
71,-4.28057,-0.68127,0
72,-4.37091,-0.69565,0
73,-3.60413,-0.57362,0
74,-3.50313,-0.55754,0
75,-4.41529,-0.70272,0
76,-4.42261,-0.70388,0
77,-4.79517,-0.76317,0
78,-3.85401,-0.61338,0
79,-4.04382,-0.64359,0
80,-3.99001,-0.63503,0
81,-4.19826,-0.66817,0
82,-4.32040,-0.68761,0
83,-4.39248,-0.69908,0
84,-4.40691,-0.70138,0
85,-4.73916,-0.75426,0
86,-3.83607,-0.61053,0
87,-4.14740,-0.66008,0
88,-3.63908,-0.57918,0
89,-3.63614,-0.57871,0
90,-3.56252,-0.56699,0
91,-4.01591,-0.63915,0
92,-3.45059,-0.54918,0
93,-4.59094,-0.73067,0
94,-3.70969,-0.59042,0
95,-3.98172,-0.63371,0
96,-4.38343,-0.69765,0
97,-4.13349,-0.65787,0
98,-4.00814,-0.63792,0
99,-4.51621,-0.71878,0
100,-4.40504,-0.70108,0
101,-4.70993,-0.74961,0
102,-3.71900,-0.59190,0
103,-4.10449,-0.65325,0
104,-3.68337,-0.58623,0
105,-3.60532,-0.57380,0
106,-3.54512,-0.56422,0
107,-4.15473,-0.66125,0
108,-4.09936,-0.65243,0
109,-4.73792,-0.75406,0
110,-3.76819,-0.59973,0
111,-4.13787,-0.65856,0
